head,relation,tail,noise
"barack had 94 opportunities to side on the people's side and reduce taxes and 94 times he voted to increase taxes or not support a tax reduction, 94 times",is a,claim,0
it was a matter of principle in america's national interest and values,is a,claim,0
"right now, syria is fighting isis",said in,09-10-2016,0
"i think that the alarm has been heard, though, and there will be that greater oversight",said in,02-10-2008,0
they have to balance their budgets,support,they have to,0
that's why we have to balance the budget,is a,claim,0
look at the president's record: clean air legislation passed the democratic congress because of the leadership of george bush,said in,13-10-1992,0
we got upset when he took the whole thing,said in,19-10-1992,0
four years ago they campaigned on getting prescription drugs for seniors,support,now they're campaigning on getting prescription drugs for seniors,0
"i would not be able wou- would be willing to meet with him however, unless there were preparations for that conference which would give us some reasonable certainty - some reasonable certainty - that you were going to have some success",said in,07-10-1960,0
it was a democratic tax increase,is a,claim,0
we did it by taking $60 billion that was going to banks and lenders as middlemen for the student loan program,is a,premise,0
pay our men and women more,is a,claim,0
we have to make it possible,is a,claim,0
michael dukakis is the most liberal national democrat to seek the office of presidency since george mcgovern,said in,05-10-1988,0
you guys opposed the surge,is a,claim,0
i am going to protect the american taxpayer against the spend and tax congress,support,i'm going to keep on vetoing them,0
they want an american foreign policy that leads toward a safer world,said in,07-10-1984,0
"ninety-seven percent of the small businesses make less than $250,000 a year, would not be affected",is a,claim,0
he's been wonderful about it in absolutely everything that happens,support,"the president, of course, is the best i've ever seen at accepting that",0
donald insulted and attacked them for weeks over their religion,said in,09-10-2016,0
we do come from different places,said in,03-10-2000,0
the question is who makes the decision,is a,claim,0
middle-income taxpayers have been buried over the past four years,is a,premise,0
"we think we can do it given today's technology in a way that will not damage the environment, will not permanently marr the countryside at all",support,the infrastructure is there to be able to deliver that product to market,0
they're working harder and higher and harder paying more taxes,support,but are the american people?,0
it also could be somebody sitting on their bed that weighs 400 pounds,support,i don't—maybe it was,0
